Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:La cuestión de Belice /Author(s):                Baranda, Joaquín.Publication:              Campeche,Year:                     1873Language:                 UndeterminedStandard No:              Other:                    SPKT251608Responsibility:           [Joaquín Baranda].Document Type:            BookEntry:                    20000101Update:                   20171209Accession No:             OCLC:                     253254398Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	La cuestión de Belice /Author(s)	"Baranda, Joaquín.Publication"	"Campeche,"	^^^	1	^^^	^^^	^^^	253254398	https://worldcat.org/oclc/253254398
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         PATRIOTA.14Title:Exhortacion á los habitantes del nuevo mundo. Dulce et decorum est pro patria mori. Horacio. [Signed, Pòr un Patriota.].Author(s):                PATRIOTA.Publication:              [Campeche],Year:                     1808Description:              1 volume 4°Language:                 UndeterminedStandard No:              National Library:         002793443Document Type:            BookEntry:                    19891005Update:                   20181217Accession No:             OCLC:                     563857047Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"Exhortacion á los habitantes del nuevo mundo. Dulce et decorum est pro patria mori. Horacio. [Signed, Pòr un Patriota.].Author(s)"	PATRIOTA.Publication	"[Campeche],"	1808	1808	1 volume 4°	^^^	^^^	563857047	https://worldcat.org/oclc/563857047
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         PATRIOTA14Title:                     Exhortacion á los habitantes del nuevo mundo. Dulce et decorum est pro patria mori. Horacio. [Signed, Pòr un Patriota.].Author(s):                PATRIOTAPublication:              [Campeche],Year:                     1808Description:              1 online resourceLanguage:                 UndeterminedStandard No:              National Library:         018800647Material Type:            Document (dct)Document Type:            Book; Computer FileDate of Entry:            19891005Update:                   20201002Accession No:             OCLC:                     1063551891Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Exhortacion á los habitantes del nuevo mundo. Dulce et decorum est pro patria mori. Horacio. [Signed, Pòr un Patriota.].Author(s)"	PATRIOTAPublication	"[Campeche],"	1808	1808	1 online resource	^^^	^^^	1063551891	https://worldcat.org/oclc/1063551891
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Digo yo D. [Diego Ybarra Mtre. de la Goleta titulada el Sto. Christo] ... que se halla anclado en este puerto de Campeche próxîmo á hacer viage [al de Veracruz], que he recibido á bordo de[otro mi buque de D. Pedro Rossell y por cuenta riesgo y con signacion de D. Nicolas Campero y Bustamante de aquel comercio consiguiente veinte y ciete medios tercios de costales en jutos] ...Author(s):                Rossell, Pedro.Campero y Bustamante, Nicolás.Ybarra, Diego.Corp Author(s):           Real Aduana de Campeche (Campeche, Mexico)Publication:              México : [publisher not identified],Place:                    Mexico; Campeche (Campeche)Year:                     1808Description:              1 sheet ; 18 x 23 cmLanguage:                 SpanishAbstract:                 A document where D. Diego de Ybarra declares that he is on a boat, the Santo Christo, anchored in the port of Campeche and ready to go to Veracruz, where he will give a hiscargo (large bags of jute) to D. Nicolas Campero y Bustamante.SUBJECT(S)Descriptor:               Certificates of origin -- Mexico -- Campeche (Campeche) -- Specimens.Jute industry -- Mexico -- History -- 19th century.Certificats d'origine (Douanes) -- Mexique -- Campeche (Campeche) -- Spécimens.Jute -- Industrie -- Mexique -- Histoire -- 19e siècle.Certificates of origin.Commerce.Jute industry.Genre/Form:               History.Sources.Specimens.Certificates -- Mexico -- 19th century.Time:                     1800-1899Geographic:               Mexico -- Commerce -- 19th century -- Sources.Mexico.Mexico -- Campeche (Campeche)Note(s):                  Campe. [Campeche] a 14 de Diciembre de 1808./ Diego de Ybarra./ Engraving./ Printed form with manuscript insertions./ Caption title./ Funding:                  This catalogrecord was made possible with a grant from the Council on Library and Information Resources (CLIR) Cataloging Hidden Special Collections and Archives program/ Grant Number:             41100623Class Descriptors:         LC: HJ6762.C3Other Titles:             Que he recibido á bordo de​ otro mi buque de D. Pedro Rossell y por cuenta riesgo y con signacion de D. Nicolas Campero y Bustamante de aquel comercio consiguienteveinte y ciete medios tercios de costales en jutos] ...Material Type:            Government publication (gpb); National government publication (ngp)Document Type:            BookEntry:                    20161024Update:                   20220517Accession No:             OCLC:                     961118948Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Digo yo D. [Diego Ybarra Mtre. de la Goleta titulada el Sto. Christo] ... que se halla anclado en este puerto de Campeche próxîmo á hacer viage [al de Veracruz], que he recibido á bordo de[otro mi buque de D. Pedro Rossell y por cuenta riesgo y con signacion de D. Nicolas Campero y Bustamante de aquel comercio consiguiente veinte y ciete medios tercios de costales en jutos] ...Author(s)"	"Rossell, Pedro.Campero y Bustamante, Nicolás.Ybarra, Diego.Corp Author(s)"	"México : [publisher not identified],Place: Mexico; Campeche (Campeche)"	1808	1808	1 sheet ; 18 x 23 cm	Descriptor: Certificates of origin -- Mexico -- Campeche (Campeche) -- Specimens.Jute industry -- Mexico -- History -- 19th century.Certificats d'origine (Douanes) -- Mexique -- Campeche (Campeche) -- Spécimens.Jute -- Industrie -- Mexique -- Histoire -- 19e siècle.Certificates of origin.Commerce.Jute industry.Genre/Form: History.Sources.Specimens.Certificates -- Mexico -- 19th century.Time: 1800-1899Geographic: Mexico -- Commerce -- 19th century -- Sources.Mexico.Mexico -- Campeche (Campeche)Note(s): Campe. [Campeche] a 14 de Diciembre de 1808./ Diego de Ybarra./ Engraving./ Printed form with manuscript insertions./ Caption title./ Funding: This catalogrecord was made possible with a grant from the Council on Library and Information Resources (CLIR) Cataloging Hidden Special Collections and Archives program/ Grant Number: 41100623	Campe. [Campeche] a 14 de Diciembre de 1808./ Diego de Ybarra./ Engraving./ Printed form with manuscript insertions./ Caption title./ Funding: This catalogrecord was made possible with a grant from the Council on Library and Information Resources (CLIR) Cataloging Hidden Special Collections and Archives program/ Grant Number: 41100623	961118948	https://worldcat.org/oclc/961118948
	"Access:                   http://libweb5.princeton.edu/mssimages/garrett-gatesmesoamerican/garrettgatesmeso9-f123r.jpgAvailability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         Garrett, Robert,max: 37Phillipps, Thomas,max: 834Gates, William,max: 156Title:                     Apuntes sobre algunas plantas Medicinales de Yucatan escritas por un Fraile Franciscano de Campeche :[1820?]. manuscript,Author(s):                Garrett, Robert,; 1875-1961, ; donor.Phillipps, Thomas,; Sir,; 1792-1872, ; former owner.Gates, William,; 1863-1940, ; former owner.Place:                    Mexico; Campeche.Year:                     1820Description:              1 item (22 leaves with old pagination, p. 82-123) : paper, ill. ; 17 x 22 cm.In:                       Robert Garrett Collection.Language:                 Spanish; Text in Spanish and Yucatec with some Latin.Abstract:                 Contains botanical drawings with Mayan names on the recto of each leaf and descriptions of uses in Spanish on the verso. The description indicates the medical uses of eachplant (use of the root to keep snakes away, etc.) and includes other data about the plant, such as aesthetic qualities, growth period, and classification. Written by a Franciscan friar of Campeche.The original ms. had at least 123 folios with herbal remedies described in alphabetical order. The manuscript was later rebound, probably in 1859, with 22 leaves extant (f. 81-84, 100-101, 107, 109,112-114, 119-120, 123, and 3 leaves unidentified) and bound out of order.Access:                   Note:                     Imagehttp://libweb5.princeton.edu/mssimages/garrett-gatesmesoamerican/garrettgatesmeso9-f123r.jpgNote:                     Checklist of Mesoamerican Manuscriptshttp://libweb5.princeton.edu/mssimages/index.htmlSUBJECT(S)Descriptor:               Materia medica, Vegetable -- Mexico -- Yucatan -- 19th century.Medicinal plants -- Mexico -- Yucatan -- 19th century.Mayas -- Medicine.Materia medica, Vegetable.Mayas -- Medicine.Medicinal plants.Genre/Form:               Manuscripts, Spanish -- 19th century.papers (documents)Time:                     1800-1899Note(s):                  ""Obsequio que me hizo el Lic. D. Rodulfo Canton de Merida en Vemery, Diciembre 1859""--Written in pen on cover./ ""Mex. B. 9,"" written in pencil; oval label with ""9"" writtenin pen; circular label with ""301"" written in pen; rectangular label with ""21239"" printed; and ""56"" written and circled in ink, all on cover./ Decoration: full-page drawings (in pencil (some in redand green pencil) and watercolor) of plants on verso of each leaf./ Published translation and facsimile: Apuntes sobre algunas plantas medicinales de Yucatán / translated and edited by Elizabeth C.Stewart. Baltimore : The Maya Society, 1935.General Info:             The original manuscript was written by a Franciscan friar of Campeche about the beginning of the 19th century; was presented to Dr. Berendt by a Yucatecan friend, inVeracruz in 1859; previously owned by Sir Thomas Phillipps (Ms. 21239); later acquired by William Gates; sold to Robert Garrett (purchased from William Gates in 1930); deposited by Garrett at theInstitute for Advanced Study at Princeton in 1942; removed from the Institute in 1949, at Garrett's request, and donated to the Princeton University Library./ Forms part of the Robert GarrettCollection (C0744). Preferred citation:       Garrett-Gates Mesoamerican Manuscripts, no. 9, Manuscripts Division, Department of Rare Books and Special Collections, Princeton University Library.;Maya Grammar with bibliography and appraisement of the works noted / A.M. Tozzer. Cambridge : The Museum, 1921, p. 195-196.Other Titles:             Notes on some of the Medicinal Plants of YucatanMaterial Type:            Manuscript (mss)Document Type:            Book; Archival MaterialDate of Entry:            20011120Update:                   20220415Accession No:             OCLC:                     177441012Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Apuntes sobre algunas plantas Medicinales de Yucatan escritas por un Fraile Franciscano de Campeche	"Garrett, Robert,; 1875-1961, ; donor.Phillipps, Thomas,; Sir,; 1792-1872, ; former owner.Gates, William,; 1863-1940, ; former owner.Place"	^^^	1820	1820	"1 item (22 leaves with old pagination, p. 82-123) : paper, ill. ; 17 x 22 cm.In: Robert Garrett Collection."	^^^	^^^	177441012	https://worldcat.org/oclc/177441012
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Estado que manifiesta el numero de vacunados y revacunados en esta ciudad y sus varrios en todo el presente año con inclusion de los publicados en los anteriores.Author(s):                Blanco, Ciprian.Publication:              Campeche : [publisher not identified],Year:                     1820Description:              ""1 broadside"", [2] leaves (2nd bl.)Language:                 SpanishReferences:               Guerra (Icon.); 638Document Type:            BookEntry:                    19920702Update:                   20210521Accession No:             OCLC:                     26120655Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Estado que manifiesta el numero de vacunados y revacunados en esta ciudad y sus varrios en todo el presente año con inclusion de los publicados en los anteriores.Author(s)	"Blanco, Ciprian.Publication"	"Campeche : [publisher not identified],"	1820	1820	"""1 broadside"", [2] leaves (2nd bl.)"	^^^	^^^	26120655	https://worldcat.org/oclc/26120655
	"Access:                   http://libweb5.princeton.edu/visual_materials/gates/images/gates9a.jpgAvailability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         Garrett, Robert,max: 37Phillipps, Thomas,max: 834Gates, William,max: 156Title:                     [Notes on some of the medicinal plants of Yucatan].Author(s):                Garrett, Robert,; 1875-1961, ; donor.Phillipps, Thomas,; Sir,; 1792-1872, ; former owner.Gates, William,; 1863-1940, ; former owner.Place:                    Mexico; Campeche.Year:                     1820Description:              22 leaves with old pagination (pages 82-123), bound : paper, illustrations ; 16.5 x 22 cmIn:                       Garrett Collection of Manuscripts in the Indigenous Languages of Middle America. 1500-1968Language:                 Spanish; Text in Spanish and Mayan-Yucatec; with some Latin.Standard No:              Other:                    Garrett 11, Yucatec Maya; Gates 9Abstract:                 Contains botanical drawings with Mayan names on the recto of each leaf and descriptions of uses in Spanish on the verso. The description indicates the medical uses of eachplant (use of the root to keep snakes away, etc.) and includes other data about the plant, such as aesthetic qualities, growth period, and classification. Written by a Franciscan friar of Campeche.The original ms. had at least 123 folios with herbal remedies described in alphabetical order. The manuscript was later rebound, probably in 1859, with 22 leaves extant (f. 81-84, 100-101, 107, 109,112-114, 119-120, 123, and 3 leaves unidentified) and bound out of order.Access:                   Note:                     Image of f. 82rhttp://libweb5.princeton.edu/visual_materials/gates/images/gates9a.jpgNote:                     Image of f. 82vhttp://libweb5.princeton.edu/visual_materials/gates/images/gates9b.jpgNote:                     Finding aid or folder listhttp://libweb.princeton.edu/libraries/firestone/rbsc/aids/gates/Note:                     Search MASC (Manuscripts, Archives, and Special Collections), the database of the Dept. of Rare Books and Special Collections, to find relatedmaterialhttp://libweb5.princeton.edu/masc/MascSearch.aspSUBJECT(S)Descriptor:               Materia medica, Vegetable -- Mexico -- Yucatan -- 19th century.Medicinal plants -- Mexico -- Yucatan -- 19th century.Mayas -- Medicine.Materia medica, Vegetable.Mayas -- Medicine.Medicinal plants.Genre/Form:               Manuscripts, Spanish -- 19th century.papers (documents)Time:                     1800-1899Note(s):                  ""Obsequio que me hizo el Lic. D. Rodulfo Canton de Merida en Vemery, Diciembre 1859""--Written in pen on cover./ ""Mex. B. 9,"" written in pencil; oval label with ""9"" writtenin pen; circular label with ""301"" written in pen; rectangular label with ""21239"" printed; and ""56"" written and circled in ink, all on cover./ Decoration: full-page drawings (in pencil (some in redand green pencil) and watercolor) of plants on verso of each leaf./ Binding: sewn sheets laid inside modern cardboard covers; in cloth box./ Published translation and facsimile: Apuntes sobre algunasplantas medicinales de Yucatán / translated and edited by Elizabeth C. Stewart. Baltimore : The Maya Society, 1935.General Info:             The original manuscript was written by a Franciscan friar of Campeche about the beginning of the 19th century; was presented to Dr. Berendt by a Yucatecan friend, inVeracruz in 1859; previously owned by Sir Thomas Phillipps (Ms. 21239); previously owned by William E. Gates./ Forms part of the Garrett Collection of Manuscripts in the Indigenous Languages ofMiddle America.; Maya Grammar with bibliography and appraisement of the works noted / A.M. Tozzer. Cambridge : The Museum, 1921, p. 195-196.Other Titles:             Apuntes sobre algunas plantas Medicinales de Yucatan escritas por un Fraile Franciscano de CampecheMaterial Type:            Manuscript (mss)Document Type:            Book; Archival MaterialDate of Entry:            20011120Update:                   20220120Accession No:             OCLC:                     54749750Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	[Notes on some of the medicinal plants of Yucatan].Author(s)	"Garrett, Robert,; 1875-1961, ; donor.Phillipps, Thomas,; Sir,; 1792-1872, ; former owner.Gates, William,; 1863-1940, ; former owner.Place"	^^^	1820	1820	"22 leaves with old pagination (pages 82-123), bound : paper, illustrations ; 16.5 x 22 cmIn: Garrett Collection of Manuscripts in the Indigenous Languages of Middle America. 1500-1968"	^^^	^^^	54749750	https://worldcat.org/oclc/54749750
	"Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemTitle:Vindicacion del pueblo campechanoAuthor(s):          López de Estrada, José Antonio ca. 1824  (Author)Publication:        Campeche oficina Imparcial Luz campechana à cargo del ciudadano Joaquin CapstilloPlace:              México; CampecheYear:               1824Description:        [2] p. Fol.Language:           SpanishSUBJECT(S)Geographic:         Campeche (Campeche, México)México -- Historia -- 1821-1861México -- Política y gobierno -- 1821-1861Responsibility:     [José Antonio López].Document Type:      BookEntry:              20210104Update:             20211221Accession No:       OCLC:               1235950756Provider:        OCLCDatabase:           WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Vindicacion del pueblo campechanoAuthor(s)	"López de Estrada, José Antonio ca. 1824 (Author)Publication"	Campeche oficina Imparcial Luz campechana à cargo del ciudadano Joaquin CapstilloPlace: México; Campeche	1824	1824	[2] p. Fol.	^^^	^^^	1235950756	https://worldcat.org/oclc/1235950756
	"Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemTitle:Representación hecha por los comisionados del respetable ayuntamiento de esta ciudad cerca del gobierno al honorable poder ejecutivo y la determinación que le recayo.Author(s):          Regil, Pedro Manuel de.Corp Author(s):     Campeche (México)Publication:        [Campeche : Luz campechana,Year:               1824Description:        8 p. ; 20 cm.Language:           SpanishSUBJECT(S)Geographic:         Campeche (México) -- Historia.Campeche (México) -- Política y gobierno.Note(s):            Título de partida./ Firma: Pedro Manuel de Regil.Class Descriptors:   LC: JS2119.5.C36Material Type:      Government publication (gpb); State or province government publication (sgp)Document Type:      BookEntry:              20060609Update:             20170128Accession No:       OCLC:               970519082Provider:        OCLCDatabase:           WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Representación hecha por los comisionados del respetable ayuntamiento de esta ciudad cerca del gobierno al honorable poder ejecutivo y la determinación que le recayo.Author(s)	"Regil, Pedro Manuel de.Corp Author(s)"	"[Campeche : Luz campechana,"	1824	1824	8 p. ; 20 cm.	Geographic: Campeche (México) -- Historia.Campeche (México) -- Política y gobierno.Note(s): Título de partida./ Firma: Pedro Manuel de Regil.	Título de partida./ Firma: Pedro Manuel de Regil.	970519082	https://worldcat.org/oclc/970519082
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Segundo manifiesto imparcial y esacto en que el ciudadano Joaquín Casares y Armas diputado electo por este estado cerca del Sob. Congreso ... breve y suscinta relación de los motivos que hanoriginado el 1o. de marzo ultimo su escandalosa prisión, a consecuencia de la imaginaria conspiración que le ha atribuido la malignidad de sus émulos, y por la que han visto en Yucatánsuspensas ... contra su persona las formulas constitucionales ...Author(s):                Cásares y Armas, Joaquín.Capetillo, Joaquín, ; impr.Publication:              Campeche : Imprenta del Investigador á cargo del c. Joaquín Capetillo,Year:                     1824Description:              26 p. ; 21 cmLanguage:                 SpanishSUBJECT(S)Descriptor:               Juicios (Conspiración) -- Yucatán.Juicios (Delitos políticos) -- México.Geographic:               Yucatán -- Historia -- Federalismo y centralismo, 1824-1853.Note(s):                  Incluye erratas./ Notas a pie de pág./ Encuadernado con: Parte oficial del señor general en gefe de las fuerzas de Yucatán, sobre las operaciones militares a que diólugar la expedicion mejicana destinada a la costa de Barlovento del Estado.Document Type:            BookEntry:                    20050421Update:                   20181018Accession No:             OCLC:                     651391383Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Segundo manifiesto imparcial y esacto en que el ciudadano Joaquín Casares y Armas diputado electo por este estado cerca del Sob. Congreso ... breve y suscinta relación de los motivos que hanoriginado el 1o. de marzo ultimo su escandalosa prisión, a consecuencia de la imaginaria conspiración que le ha atribuido la malignidad de sus émulos, y por la que han visto en Yucatánsuspensas ... contra su persona las formulas constitucionales ...Author(s)"	"Cásares y Armas, Joaquín.Capetillo, Joaquín, ; impr.Publication"	"Campeche : Imprenta del Investigador á cargo del c. Joaquín Capetillo,"	1824	1824	26 p. ; 21 cm	^^^	^^^	651391383	https://worldcat.org/oclc/651391383
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Begin. Campeche, Junío 29 de 1825. Ciudadanos electores: acabais de elegir para alcalde 2° de esta ciudad al C. Pedro M. de Cicero, etc. [On an irregularity in the election. Signed: El amante dela ley.].Author(s):                CICERO, Pedro M. de.Publication:              Campeche,Year:                     1824Description:              s. sh. ; 4toLanguage:                 LatinStandard No:              National Library:         000705183Note(s):                  Cropped.Document Type:            BookEntry:                    19880229Update:                   20160217Accession No:             OCLC:                     606306561Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Begin. Campeche, Junío 29 de 1825. Ciudadanos electores"	"CICERO, Pedro M. de.Publication"	"Campeche,"	1824	1824	s. sh. ; 4to	^^^	^^^	606306561	https://worldcat.org/oclc/606306561
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Novedades de Campeche contra los españoles :acta celebrada por el R.A. autoridades y gefes de Campeche.Author(s):                Valdés, Alejandro; s. XIX ; impresor; (Printer)Publication:              [México]Impreso en Campeche, y reimpreso en México en la oficina del ciudadano Alejandro ValdésPlace:                    México; Ciudad de MéxicoYear:                     1824Description:              [2] p. Fol.Language:                 SpanishAbstract:                 Acta de la junta celebrada en la ciudad de Campeche el día 15 de febrero de 1824, con el fin de proceder a votación la declaración de guerra a la nación española y laretirada de los españoles europeos de los cargos que ocupanSUBJECT(S)Descriptor:               Declaración de guerraGeographic:               Campeche (Campeche, México)México -- Historia -- 1821-1861México -- Política y gobierno -- 1821-1861Document Type:            BookEntry:                    20210104Update:                   20211222Accession No:             OCLC:                     1235947422Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Novedades de Campeche contra los españoles	"Valdés, Alejandro; s. XIX ; impresor; (Printer)Publication"	"[México]Impreso en Campeche, y reimpreso en México en la oficina del ciudadano Alejandro ValdésPlace: México; Ciudad de México"	1824	1824	[2] p. Fol.	^^^	^^^	1235947422	https://worldcat.org/oclc/1235947422
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         SERPENTON.5Title:El Serpenton. pt. 1.Author(s):                SERPENTON.Publication:              Campeche,Year:                     1825Description:              1 volume 4°Language:                 EnglishStandard No:              National Library:         003341655Document Type:            BookEntry:                    19900321Update:                   20181220Accession No:             OCLC:                     503748785Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	El Serpenton. pt. 1.Author(s)	SERPENTON.Publication	"Campeche,"	1825	1825	1 volume 4°	^^^	^^^	503748785	https://worldcat.org/oclc/503748785
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Salutacion á los dignos miembros de la difunta camarilla. [In verse. Subscribed: El Alcalde Viscochito.].Author(s):                VISCOCHITO, El Alcalde, pseud.Publication:              Campeche,Year:                     1825Description:              s. sh. folLanguage:                 EnglishStandard No:              National Library:         003804255Document Type:            BookEntry:                    19900829Update:                   20190810Accession No:             OCLC:                     503931421Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Salutacion á los dignos miembros de la difunta camarilla. [In verse. Subscribed	"VISCOCHITO, El Alcalde, pseud.Publication"	"Campeche,"	1825	1825	s. sh. fol	^^^	^^^	503931421	https://worldcat.org/oclc/503931421
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Alcance al Investigador num. 165. [A complaint against the priest Carlos Gonzales for exacting an excessive baptismal fee.].Author(s):                TEJO, Andres.Gonzáles, Carlos.Publication:              Campeche,Year:                     1825Description:              s. sh. ; 4toLanguage:                 EnglishStandard No:              National Library:         003669893Document Type:            BookEntry:                    19900626Update:                   20190811Accession No:             OCLC:                     504482293Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Alcance al Investigador num. 165. [A complaint against the priest Carlos Gonzales for exacting an excessive baptismal fee.].Author(s)	"TEJO, Andres.Gonzáles, Carlos.Publication"	"Campeche,"	1825	1825	s. sh. ; 4to	^^^	^^^	504482293	https://worldcat.org/oclc/504482293
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         Tabasco (Mexico : State)1,728Title:Constitución política del estado libre de Tabasco, formada por su Congreso constituyente en febrero df [sic] 1825.Corp Author(s):           Tabasco (Mexico : State)Publication:              Campeche, Impr. C.M. Florez,Year:                     1825Description:              1 preliminary leaf, 46 pages 14 cmLanguage:                 SpanishDocument Type:            BookEntry:                    19950414Update:                   20150507Accession No:             OCLC:                     82740934Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Constitución política del estado libre de Tabasco, formada por su Congreso constituyente en febrero df [sic] 1825.Corp Author(s)"	Tabasco (Mexico	"Campeche, Impr. C.M. Florez,"	1825	1825	"1 preliminary leaf, 46 pages 14 cm"	^^^	^^^	82740934	https://worldcat.org/oclc/82740934
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Informe que el que subscribe da al excmo. sr. ministro de relaciones,sobre la Comision de que esta encargado por el supremo gobierno de la Republica Mejicana.Author(s):                Fajardo, Domingo.Publication:              Campeche, Impreso por J.M. Corrales,Year:                     1828Description:              17 pages 19 cmLanguage:                 SpanishSUBJECT(S)Descriptor:               Travel.Geographic:               Petén (Guatemala : Dept.)Yucatán (Mexico : State) -- Description and travel.Yucatán (Mexique : État) -- Descriptions et voyages.Guatemala -- Petén (Department)Mexico -- Yucatán (State)Note(s):                  Signed: Domingo Fajardo.Document Type:            BookEntry:                    19890630Update:                   20220416Accession No:             OCLC:                     19955747Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Informe que el que subscribe da al excmo. sr. ministro de relaciones,sobre la Comision de que esta encargado por el supremo gobierno de la Republica Mejicana.Author(s)"	"Fajardo, Domingo.Publication"	"Campeche, Impreso por J.M. Corrales,"	1828	1828	17 pages 19 cm	^^^	^^^	19955747	https://worldcat.org/oclc/19955747
	"Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemFind Items About:   Central America (Federal Republic : 1823-1840).266Title:Manifiesto de la justicia y derecho que el distrito del Petén Itzà tiene para la reivindicacion que ha pretendido y reitera de su agregacion al estado de Yucatan à que pertenecia en lo civil yeclesiàstico, y por un despojo arbitario fué agregado al reino de Guatemala en lo primero, permaneciendo ùnicamente en lo segundo.Author(s):          Los procuradores itzalanos.Corp Author(s):     Central America (Federal Republic : 1823-1840).; President (1825-1829 : Arce). ; Manifiesto del gobierno ...Publication:        Campeche, Impreso por J.M. Corrales,Year:               1829Description:        1 preliminary leaf, 22 pages 22 cmLanguage:           SpanishSUBJECT(S)Geographic:         Petén (Guatemala : Dept.)Guatemala -- Petén (Department)Note(s):            Signed (p. 15): Los procuradores itzalonos./ ""Manifiesto del gobierno à los puelblos [sic] de Centro América"" signed Manuel José Arce: p. 15-22Document Type:      BookEntry:              19890621Update:             20220524Accession No:       OCLC:               19908043Provider:        OCLCDatabase:           WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Manifiesto de la justicia y derecho que el distrito del Petén Itzà tiene para la reivindicacion que ha pretendido y reitera de su agregacion al estado de Yucatan à que pertenecia en lo civil yeclesiàstico, y por un despojo arbitario fué agregado al reino de Guatemala en lo primero, permaneciendo ùnicamente en lo segundo.Author(s)"	Los procuradores itzalanos.Corp Author(s)	"Campeche, Impreso por J.M. Corrales,"	1829	1829	"1 preliminary leaf, 22 pages 22 cm"	^^^	^^^	19908043	https://worldcat.org/oclc/19908043
